attack,epsilon,defense,clean_accuracy,adversarial_accuracy_before_defense,defended_accuracy,recovery_rate_on_successful_attacks,mean_defended_confidence,total_images
fgsm,0.03,gaussian_blur,0.9793333333333333,0.671,0.718,0.15243243243243243,0.8989084335168203,3000
fgsm,0.03,median_filter,0.9793333333333333,0.671,0.7106666666666667,0.13513513513513514,0.8954700078417858,3000
fgsm,0.03,jpeg_compression,0.9793333333333333,0.671,0.7936666666666666,0.4,0.9186508804510037,3000
fgsm,0.05,gaussian_blur,0.9793333333333333,0.5023333333333333,0.5576666666666666,0.11740041928721175,0.8569725090861321,3000
fgsm,0.05,median_filter,0.9793333333333333,0.5023333333333333,0.5476666666666666,0.103424178895877,0.8520551583518584,3000
fgsm,0.05,jpeg_compression,0.9793333333333333,0.5023333333333333,0.627,0.2620545073375262,0.8673480651030938,3000
pgd,0.03,gaussian_blur,0.9793333333333333,0.603,0.6733333333333333,0.18777679362267494,0.9289616751869519,3000
pgd,0.03,median_filter,0.9793333333333333,0.603,0.678,0.20372010628875112,0.9289604593217373,3000
pgd,0.03,jpeg_compression,0.9793333333333333,0.603,0.7943333333333333,0.508414526129318,0.938737409333388,3000
pgd,0.05,gaussian_blur,0.9793333333333333,0.5446666666666666,0.6133333333333333,0.1579754601226994,0.9261399776935577,3000
pgd,0.05,median_filter,0.9793333333333333,0.5446666666666666,0.6153333333333333,0.16487730061349692,0.9261086799701055,3000
pgd,0.05,jpeg_compression,0.9793333333333333,0.5446666666666666,0.7173333333333334,0.39800613496932513,0.9299333410908779,3000
