attack,epsilon_normalized_space,mean_linf_pixel_space,max_linf_pixel_space,mean_abs_delta_pixel_space,mean_mse,mean_psnr_db,min_psnr_db,successful_changes,total_images
fgsm,0.01,0.002672053799033165,0.0026720762252807617,0.0025652902972651648,6.727214180045848e-06,51.72826308186849,51.627197265625,234,3000
fgsm,0.03,0.00801603959997495,0.008016049861907959,0.007688922503652672,6.046251809069266e-05,42.19218489074707,42.08477783203125,925,3000
pgd,0.01,0.0026720535109440485,0.0026720762252807617,0.0024662861259421333,6.391191183107973e-06,51.94977857335409,51.75178527832031,332,3000
pgd,0.03,0.008016038969159126,0.008016049861907959,0.005684964927844703,3.887680626818716e-05,44.11041580200195,43.65207290649414,1136,3000
