epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.466341436578986,0.28396043101925456,1.7621030062437057,0.43818818818818817,0.001
2,0.7769934337460593,0.7550344462109168,0.39949341490864754,0.8933933933933934,0.0009972609476841367
3,0.12367309475045525,0.9697491609256315,0.11817076499573886,0.9627127127127127,0.0009890738003669028
4,0.0505618325570661,0.9877671789436495,0.05780826695263386,0.9819819819819819,0.0009755282581475768
5,0.025023057444669893,0.9946564211270094,0.03847154777031392,0.986986986986987,0.0009567727288213003
6,0.020809172474768725,0.9945239357004063,0.0886716062668711,0.9754754754754755,0.0009330127018922195
7,0.013421775291809875,0.9968203497615262,0.09301604144275188,0.975975975975976,0.0009045084971874739
8,0.016095639222165507,0.9965553789083201,0.0046548021855414845,0.998998998998999,0.0008715724127386972
9,0.008242625664668471,0.998145204027557,0.010235024703433737,0.9972472472472472,0.0008345653031794292
10,0.006129554587970959,0.9987634693517047,0.024404421914368868,0.9927427427427428,0.0007938926261462366
11,0.006255909266850252,0.9984543366896308,0.0102506121766055,0.9964964964964965,0.00075
12,0.005343580989983309,0.9986751457339693,0.006480065472715069,0.9987487487487487,0.0007033683215379003
13,0.004678770468774346,0.9989842783960431,0.000929424939386081,1.0,0.0006545084971874739
14,0.005233444268239683,0.998719307542837,0.0027318095017108135,0.9994994994994995,0.0006039558454088797
15,0.004638363769424431,0.9989842783960431,0.0023291025463549886,0.9994994994994995,0.0005522642316338269
16,0.0009307411840719203,0.9999116763822646,0.0006675669883406954,0.9997497497497497,0.0005000000000000002
17,0.0006588382543106511,0.9999558381911323,0.0003266151659317984,1.0,0.0004477357683661734
18,0.00033473552533639907,1.0,0.0004116830161819962,0.9997497497497497,0.00039604415459112036
19,0.00020032261139870191,1.0,0.0001811875749808678,1.0,0.0003454915028125264
20,0.0005380883119644577,0.9999116763822646,0.00016095776140900853,1.0,0.0002966316784621
21,0.00026416948642006164,1.0,0.00012035010729505302,1.0,0.00025000000000000017
22,0.0002159140515206591,1.0,0.00011086000165505538,1.0,0.00020610737385376354
23,0.0004809714588559013,0.9999116763822646,0.0001252497677342035,1.0,0.00016543469682057108
24,0.00018208745812730383,1.0,9.169885015580803e-05,1.0,0.00012842758726130298
25,0.00017432505876385722,1.0,9.623789230772672e-05,1.0,9.549150281252637e-05
26,0.00016084962162801346,1.0,9.21777919984379e-05,1.0,6.698729810778068e-05
27,0.0001765666061912904,1.0,9.953197445611295e-05,1.0,4.322727117869953e-05
28,0.00014474474611754915,1.0,9.208376957303699e-05,1.0,2.447174185242324e-05
29,0.00016224729319055974,1.0,9.31659462821699e-05,1.0,1.092619963309716e-05
30,0.0001540006665850393,1.0,8.941892508573801e-05,1.0,2.7390523158633003e-06
