model,attack,epsilon,accuracy,mean_confidence,total_images,training_seconds,best_epoch,best_val_accuracy
adversarial_training,clean,0.0,0.9846666666666667,0.982938409542044,3000,285.68456268310547,4,1.0
adversarial_training,fgsm,0.03,0.88,0.9338040846933922,3000,285.68456268310547,4,1.0
adversarial_training,fgsm,0.05,0.7783333333333333,0.8967050723334153,3000,285.68456268310547,4,1.0
adversarial_training,pgd,0.03,0.8863333333333333,0.9442037213742733,3000,285.68456268310547,4,1.0
adversarial_training,pgd,0.05,0.8603333333333333,0.936629461929202,3000,285.68456268310547,4,1.0
