condition,mean_top1_top2_margin,median_top1_top2_margin,low_margin_rate_lt_0.20,sample_count
clean,0.9755694044729074,0.9998777210712433,0.008,3000
random_eps_0.03,0.9754791621367137,0.9998779892921448,0.007666666666666666,3000
fgsm_eps_0.03,0.8075067848240336,0.972174197435379,0.074,3000
pgd_eps_0.03,0.8566265409588814,0.9860831499099731,0.04633333333333333,3000
