operation,batches,mean_batch_seconds,std_batch_seconds,mean_ms_per_image,std_ms_per_image,mean_images_per_second
jpeg_defense_pgd,12,0.02669394999990497,0.0013202262644977018,0.20854648437425757,0.010314267691388294,4806.786486995639
jpeg_defense_fgsm,12,0.027089833333017548,0.0020221176712358537,0.2116393229141996,0.015797794306530107,4747.477488395828
clean_inference,12,0.03672985000002882,0.0003080159153845679,0.28695195312522515,0.0024063743389419368,3485.148829935373
jpeg_pgd_plus_inference,12,0.06387191666681247,0.0016058127462665014,0.4989993489594724,0.012545412080207041,2005.2697741736204
fgsm_generation,12,0.12008834166636007,0.0006021995081636954,0.938190169268438,0.00470468365752887,1065.908729356416
pgd_generation,12,0.8449762500002483,0.004262357528363511,6.60137695312694,0.033299668190339936,151.48741344724016
