epoch,train_loss,train_adv_acc,val_loss,val_clean_acc,lr
1,0.22692907702052192,0.8767885532591415,0.0037367678014561534,0.9997497497497497,0.0001
2,0.11393433357222696,0.9265147500441618,0.0035231373403803445,0.9997497497497497,8.535533905932738e-05
3,0.08809039427825574,0.9426779720897368,0.002826201838615816,0.9997497497497497,5e-05
4,0.07714877001355204,0.9479773891538598,0.002814426290569827,1.0,1.4644660940672627e-05
