epsilon,alpha,pgd_steps,clean_accuracy,adversarial_accuracy,attack_success_rate,mean_confidence_drop,total_images
0.03,0.005,1,0.9793333333333333,0.9533333333333334,0.02654867256637168,0.013613934268554052,3000
0.03,0.005,2,0.9793333333333333,0.903,0.07794417971409122,0.029238362630208334,3000
0.03,0.005,3,0.9793333333333333,0.832,0.1504424778761062,0.044659343153238294,3000
0.03,0.005,5,0.9793333333333333,0.7073333333333334,0.27773995915588834,0.059922542760769526,3000
0.03,0.005,7,0.9793333333333333,0.603,0.38427501701837985,0.06657271950443586,3000
0.03,0.005,10,0.9793333333333333,0.5103333333333333,0.47889720898570454,0.06304919889569283,3000
0.03,0.005,20,0.9793333333333333,0.44633333333333336,0.5442477876106194,0.051362608502308525,3000
